Hundename,Original_Hundename,Score,EpiProgeny
Fogel Hlara Vanity Fair,Fogel Hlara Vanity Fair,"0,125",Gent Fynn from the Old Mansion House
Lindall Mollie Malone,Lindall Mollie Malone,"0,125","Gent Fynn from the Old Mansion House, Illko Wind in the Willows"
Blondella Ballerina,GB. Ch. Blondella Ballerina,"0,125",Gismo vom G?nsried
Lady Bleu of Lucifers Delight,Lady Bleu of Lucifers Delight,"0,125",Gismo vom G?nsried
Cottared Midnight Magic,Cottared Midnight Magic,"0,125",Glengad Dobby
Waterford Envoy of Heathergaye,FTW Waterford Envoy of Heathergaye,"0,125",Glengad Dobby
Logansmore Samba,Logansmore Samba,"0,125",Glengad Dobby
Daisy Hill Dancer,Daisy Hill Dancer,"0,125",Glengad Dobby
Millcottage Bryn,Millcottage Bryn,"0,125","Glengad Dobby, Tealshead Bracken"
Ebony Break Bracken,Ebony Break Bracken,"0,125","Glengad Dobby, Tealshead Bracken"
of Bellever,FTCh Seasway Sweep of Bellever,"0,125",Gr�fin von Westerholts Kastalia
Albert Anastasia of Tauvechan,Albert Anastasia of Tauvechan,"0,125",Gr�fin von Westerholts Kastalia
Trioaks Belle,Trioaks Belle,"0,125",Gr�fin von Westerholts Kastalia
Corrie,Bringwood Corrie,"0,125","Gr�fin von Westerholts Kastalia, Vauhti-Noudon Vauhtineito"
Simandem Sam Browne of Balrion,C.C.W. Simandem Sam Browne of Balrion,"0,125",Grages Annalouisa
Forgemartins Gemma at Simandem,Forgemartins Gemma at Simandem,"0,125",Grages Annalouisa
Bellsfolly Black Knight,Bellsfolly Black Knight,"0,125",Grages Annalouisa
Tyton Lady Josephine,Tyton Lady Josephine,"0,125",Grages Annalouisa
Tyton Sir Alphonso at Jimjoy,Tyton Sir Alphonso at Jimjoy,"0,125",Grages Annalouisa
Jemma Of Llandysul,Jemma Of Llandysul,"0,125",Grages Annalouisa
Rossbank Hasso at Gingies,Rossbank Hasso at Gingies,"0,125",Grages Annalouisa
Sky Express,Sky Express,"0,125",Grages Annalouisa
Isis Du Bois des Lilas,Isis Du Bois des Lilas (LOF 064299/12212),"0,125",Grages Annalouisa
Brookland's Allendale Gambler,Brookland's Allendale Gambler,"0,125",Grages Annalouisa
Brooklands Sable N' Pearl,Brooklands Sable N' Pearl,"0,125",Grages Annalouisa
Brooklands Hampshire Bucky,Am Ch Brooklands Hampshire Bucky,"0,125","Grages Annalouisa, Snowy Roxy vom Windbrunnen"
Io-Lotta vom Fresenbrink,Io-Lotta vom Fresenbrink,"0,125",Gulliver of Woodpecker's Lane
Herremann,Kwinana's Herremann,"0,125",Gulliver of Woodpecker's Lane
Gulvain,Gulvain (DKK 15238/82),"0,125",Gulliver of Woodpecker's Lane
Sandra vom Sennewald,Sandra vom Sennewald,"0,125",Gulliver of Woodpecker's Lane
Poolstead Positive Mystery,Poolstead Positive Mystery,"0,125","Gulliver of Woodpecker's Lane, Lauterrinn's Dale Sir Falk Freddy"
Roseacre State Secret,Roseacre State Secret,"0,125","Gulliver of Woodpecker's Lane, Lauterrinn's Dale Sir Falk Freddy"
Jayncourt Star Qualitat,Jayncourt Star Qualitat,"0,125",Gwendy's Gandalf
Morville's Madeleine,Morville's Madeleine,"0,125",Gwendy's Gandalf
Hot Hound's Acting Adam,Hot Hound's Acting Adam,"0,125",Gwendy's Gandalf
Lindballes Creme Fraiche,Lindballes Creme Fraiche,"0,125",Gwendy's Gandalf
Jayncourt Appealing Star,Jayncourt Appealing Star,"0,125",Gwendy's Gandalf
Silronray's Lauda,VDH-CH Silronray's Lauda,"0,125",Gwendy's Gandalf
Lindballes Desire,Lindballes Desire,"0,125",Gwendy's Gandalf
Bornd John/B?rnd John,Bornd John/B?rnd John,"0,125",Gwendy's Gandalf
Aalflasker Juliette,Aalflasker Juliette,"0,125",Gwendy's Gandalf
Kim,Kim (DK 13549/85),"0,125",Gwendy's Gandalf
Dienesmindes Sara II,Dienesmindes Sara II,"0,125",Gwendy's Gandalf
Hamford Chief,FTW Hamford Chief,"0,125",Hardrocks Blue Danube
Hamford Nancy,Hamford Nancy,"0,125",Hardrocks Blue Danube
Dreamacres Firefly,Dreamacres Firefly,"0,125",Hardrocks Blue Danube
Dorka vom Tennikerweidli,Dorka vom Tennikerweidli,"0,125",Hardrocks Blue Danube
Horton Windflower,Horton Windflower,"0,125","Hardrocks Blue Danube, Waterfowler Ace"
Guideline's Cuddle The Cat,Guideline's Cuddle The Cat,"0,125",Hardscrabble Augusta
Guideline's Manuscript,Guideline's Manuscript,"0,125","Hardscrabble Augusta, Omenalaakson Charles For My Love"
Marshland Shimmer,Marshland Shimmer,"0,125","Hardscrabble Augusta, KhylarCreek Entering Mach II"
Kirkmoor Amber,Kirkmoor Amber,"0,125",Hh's On Duty Cronos
Anson Anne of Denbank,FTCh Anson Anne of Denbank,"0,125",Hh's On Duty Cronos
Trendmaker's Tropical Heat,Trendmaker's Tropical Heat,"0,125",Hh's On Duty Cronos
�lvg�rdens Petit Shiraz,�lvg�rdens Petit Shiraz,"0,125",Hh's On Duty Cronos
Warringah's Cobblestone,NORD UCH INT UCH Warringah's Cobblestone,"0,125",Hh's On Duty Cronos
Tidernas Dona Alicia,SE UCH Tidernas Dona Alicia,"0,125",Hh's On Duty Cronos
Ednan Friar of Glenarvey,GB Ch Ednan Friar of Glenarvey,"0,125",Hof Sommerberg Carlos
Mansergh Best Dressed,Mansergh Best Dressed,"0,125",Hof Sommerberg Carlos
Candlemas Lapwing,Candlemas Lapwing,"0,125",Hof Sommerberg Carlos
Jayncourt Star-Quality,Jayncourt Star-Quality,"0,125","Hof Sommerberg Carlos, Shadowvale's Tough Lady Hope"
Sandylands My Lad,"GB ShCh, AUS Ch Sandylands My Lad","0,125","Hof Sommerberg Carlos, Vigo von der Pfalz"
Poolstead PussyWillow,Poolstead PussyWillow,"0,125","Hof Sommerberg Carlos, Vigo von der Pfalz"
Shane,Shane (son of Kenstaff Andy of Drakeshead),"0,125",Hunting High And Low B'mali
Sparkfield Joyce,Ch Sparkfield Joyce,"0,125",Hunting High And Low B'mali
Gillie Briar,Knowebar Gillie Briar,"0,125",Hunting High And Low B'mali
Bell,Glenwhask Bell,"0,125",Hunting High And Low B'mali
Birdland Christmas Spirit,Birdland Christmas Spirit,"0,125",Hunting High And Low B'mali
Dalhaugen's Belita N JCH N VCH,Dalhaugen's Belita N JCH N VCH,"0,125",Hunting High And Low B'mali
Florentine,Florentine (S16805/81),"0,125","Hunting High And Low B'mali, Muistokas Rollo"
Anders aus dem Orketal,Anders aus dem Orketal,"0,125",Iljoscha von der Perle der S�dpfalz
Daisy aus dem Orketal,Daisy aus dem Orketal,"0,125",Iljoscha von der Perle der S�dpfalz
Hirsipirtin �rri�ykky,Hirsipirtin �rri�ykky,"0,125","Iljoscha von der Perle der S�dpfalz, King von der Bleiburg"
Morning Light Over Waterbrook,Morning Light Over Waterbrook,"0,125","Iljoscha von der Perle der S�dpfalz, King von der Bleiburg"
Boothgates Hot Scoop for Brandham,Boothgates Hot Scoop for Brandham,"0,125","Illko Wind in the Willows, Mira von Gugi's Kate"
Midnight Lady,Rangeways Midnight Lady,"0,125","Illko Wind in the Willows, Mira von Gugi's Kate"
Rangeways Susie-Whoo,Rangeways Susie-Whoo,"0,125","Illko Wind in the Willows, Mira von Gugi's Kate"
Lejie The Prize Guy,Lejie The Prize Guy,"0,125","Illko Wind in the Willows, Mira von Gugi's Kate"
Narjanas Careenah,Narjanas Careenah,"0,125","Illko Wind in the Willows, Mira von Gugi's Kate"
Duvkullans Zorro,Duvkullans Zorro,"0,125",IVANTHES FIRST PLOPP
Searover Call Me Madam,Searover Call Me Madam,"0,125",IVANTHES FIRST PLOPP
Skyfly's Titan,Skyfly's Titan,"0,125",IVANTHES FIRST PLOPP
Ramninges Asta,Ramninges Asta,"0,125",IVANTHES FIRST PLOPP
Farringford Master Blue at Rocheby,Farringford Master Blue at Rocheby,"0,125",Jost vom Settenbeck
Kiss Me Kate,Sretlaw Kiss Me Kate,"0,125",Jost vom Settenbeck
Carromer Hurricane,Carromer Hurricane,"0,125",Jost vom Settenbeck
Tissalian Mattisse By Carromer,Tissalian Mattisse By Carromer,"0,125",Jost vom Settenbeck
Marmaduke Maximus at Cornlands JW,Sh Ch Marmaduke Maximus at Cornlands JW,"0,125",Jost vom Settenbeck
Heatherbourne Wagtail,Heatherbourne Wagtail,"0,125",Jost vom Settenbeck
Ken vom Masurenweg,DRC/VDH-Ch Ken vom Masurenweg,"0,125",Jost vom Settenbeck
Aila vom Fuchsberger Moor,Aila vom Fuchsberger Moor,"0,125",Jost vom Settenbeck
Carromer's Mystery,CH Carromer's Mystery,"0,125","Jost vom Settenbeck, Omenalaakson Charles For My Love"
Balrion Edge Of Darkness,Balrion Edge Of Darkness,"0,125",Judges Choice Cross my Heart
Belgairn Peekaboo,AmCH Belgairn Peekaboo JH,"0,125",Judges Choice Cross my Heart
Johnny Bravo v.d. Peppelenbosch,Ch. Johnny Bravo v.d. Peppelenbosch,"0,125",Judges Choice Cross my Heart
King Fields Fun Fun,King Fields Fun Fun,"0,125",Judges Choice Cross my Heart
Arthur of Clay Diggers,Arthur of Clay Diggers,"0,125",Jumping Jack's Flash Absolute Power
Sandylands Markwell Of Lockerbie,Am CH Sandylands Markwell Of Lockerbie,"0,125","Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Limited Edition,Driftwood Limited Edition,"0,125","Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Jayncourt Ajoco Justice,AmCH Jayncourt Ajoco Justice,"0,125","Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Ballyduff Lark,AmCH Ballyduff Lark,"0,125","Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
FIN MVA FIN JVA Rosanan Taste of Honey,FIN MVA FIN JVA Rosanan Taste of Honey,"0,125","Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Mallorn's Kiss me Kate,Mallorn's Kiss me Kate,"0,125","Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Quesca vom Keien Fenn,Quesca vom Keien Fenn,"0,125","Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Spioncop Rum of Drakeshead,FTCH Spioncop Rum of Drakeshead,"0,125","Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Bella,Kenkew Bella,"0,125","Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Black Cassie of Brockton,Black Cassie of Brockton,"0,125","Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Penny Royal's Betty Boop,Penny Royal's Betty Boop,"0,125","Kebrekato Famehunter, Kebrekato Fiddle Dee"
Fameflair Hey Ma It's Me Whisky,Fameflair Hey Ma It's Me Whisky,"0,125","Kebrekato Famehunter, Kebrekato Fiddle Dee"
eby Purple Shades At Sandylands,Rocheby Purple Shades At Sandylands,"0,125",Kebrekato Millenium Star
Jayncourt Star of Colinwood,Jayncourt Star of Colinwood,"0,125",Kebrekato Millenium Star
Memory JW,Colinwood Memory JW,"0,125",Kebrekato Millenium Star
Tormentil Chablais Charlie Lad,Can CH Tormentil Chablais Charlie Lad,"0,125",Kebrekato Millenium Star
ablais Mia,MBISS Am Can CH Chablais Mia,"0,125",Kebrekato Millenium Star
Flanders Pride Xclusif,Flanders Pride Xclusif,"0,125",Kebrekato Millenium Star
Farbourne's Breaking News,Farbourne's Breaking News,"0,125",Kebrekato Millenium Star
Pipeline Zelda,Pipeline Zelda,"0,125",KhylarCreek Entering Mach II
Janneka Way's Sunny Side Up,Am CH Janneka Way's Sunny Side Up,"0,125",KhylarCreek Entering Mach II
Wiscoys Goodnight Kiss,Wiscoys Goodnight Kiss,"0,125",KhylarCreek Entering Mach II
Tabatha's Morning Cream,Tabatha's Morning Cream,"0,125",KhylarCreek Entering Mach II
Tabatha's Sport,BISS Am CH Tabatha's Sport WC,"0,125",KhylarCreek Entering Mach II
Tabatha's Paradocs Kali,Am CH Tabatha's Paradocs Kali,"0,125",KhylarCreek Entering Mach II
Royal Marine,NL Ch Rocheby Royal Marine,"0,125",KhylarCreek Entering Mach II
Carromer Sugar Almond,Carromer Sugar Almond,"0,125",KhylarCreek Entering Mach II
Borador's Sweet Charity,Am CH Borador's Sweet Charity,"0,125","KhylarCreek Entering Mach II, Riverflow Star Pleaser"
Nobsquinton Lily,FTCh Nobsquinton Lily,"0,125",Kingsdale Meadow Dark
Daughting Dulcie of Eastdale,FTW Daughting Dulcie of Eastdale,"0,125",Kingsdale Meadow Dark
Black Gem,Twinoaks Black Gem,"0,125",Kingsdale Meadow Dark
Rockenhart Voyager,IrFTCh Rockenhart Voyager,"0,125",Kingsdale Meadow Dark
IR FTCh Watergreen Freeway,IR FTCh Watergreen Freeway,"0,125",Kingsdale Meadow Dark
Edenbrook Bermuda Princess of Fernshot,FTW Edenbrook Bermuda Princess of Fernshot,"0,125",Kingsdale Meadow Dark
Medlar Bryn-Y-Pys Cleopatra,Holbatch Medlar Bryn-Y-Pys Cleopatra,"0,125","Kingsdale Meadow Dark, Perdix Gundogs Englishman in New York"
Yodel,Willowyck Yodel,"0,125",Kosta Kl�vers Bran
Hazel,Willowyck Hazel,"0,125",Kosta Kl�vers Bran
Timberland Woodsman At Lor-Al,Timberland Woodsman At Lor-Al,"0,125",Laboriginals Oi Va Voi
Devonshire Abbey Lane,AmCH Devonshire Abbey Lane,"0,125",Laboriginals Oi Va Voi
Lobuff Bobwhite At Chucklebrook,BISS Am CH Lobuff Bobwhite At Chucklebrook,"0,125",Laboriginals Oi Va Voi
Devonshires Jasmine,Devonshires Jasmine,"0,125",Laboriginals Oi Va Voi
Mallorn's Crackerjack,LCD-/VDH-CH. ES '04 Mallorn's Crackerjack,"0,125",Laboriginals Oi Va Voi
Fameflair Quickstep,CH Fameflair Quickstep,"0,125",Laboriginals Oi Va Voi
Missy's Indiana Sunka Taka,Toplicht Missy's Indiana Sunka Taka,"0,125",Laboriginals Oi Va Voi
Fleur's Trendy Tassel,Toplicht Fleur's Trendy Tassel,"0,125",Laboriginals Oi Va Voi
Adventure Jasper,Adventure Jasper,"0,125",Labstratego Yellow River
Gillie,DKBRCH Gillie (DK 04559/87),"0,125",Labstratego Yellow River
�ksedal Madeline Of Square,�ksedal Madeline Of Square,"0,125",Labstratego Yellow River
Di Stefano,Lochiness Di Stefano,"0,125",Labstratego Yellow River
Fameflair Another Queen,Fameflair Another Queen,"0,125",Labstratego Yellow River
Sorn True Lass of Timspring,Sorn True Lass of Timspring,"0,125","Lauterrinn's Dale Sir Falk Freddy, Vigo von der Pfalz"
Boothgates Medallist,Boothgates Medallist,"0,125",Lauterrinn's Dale Sir Wesley
Magical Mist of Chatston,Magical Mist of Chatston,"0,125",Limmerhultarna's Solstorm
Rydings Ralph,Rydings Ralph,"0,125",Limmerhultarna's Solstorm
Dynamic Twirl,Dynamic Twirl,"0,125",Limmerhultarna's Solstorm
Dash of Tweedshot,FTCh Dash of Tweedshot,"0,125",Lochmuir Casey
ilders Girl,Childers Girl,"0,125",Lochmuir Casey
Greenbriar Faith,Greenbriar Faith,"0,125",Lochmuir Casey
IR FTCh Ann of Cleary,IR FTCh Ann of Cleary,"0,125","Lochmuir Casey, Ravenfly Arielle"
Tapeatom Storm Force,Tapeatom Storm Force,"0,125",Ludanies Be Brave
Tapeatom Going For A Song JDC,Tapeatom Going For A Song JDC,"0,125",Ludanies Be Brave
Tapeatom Gusto,Tapeatom Gusto,"0,125",Ludanies Be Brave
Tapeatom Libertine,Tapeatom Libertine,"0,125",Ludanies Be Brave
Poolstead Prime Example,Poolstead Prime Example,"0,125",Ludanies Be Brave
Haretor Pedwar,Haretor Pedwar,"0,125","Mandylike's Twinkle, Meadowlark Black Kite"
Bonnie Lady of Penybont,Bonnie Lady of Penybont,"0,125","Mandylike's Twinkle, Meadowlark Black Kite"
Holdgate Button at Birdberi,Holdgate Button at Birdberi,"0,125",Meadowlark Black Kite
Gorin Teal,FTW Gorin Teal,"0,125","Meadowlark Marigold, Meadowlark Mr Badger"
Claire,Highwalk Claire,"0,125","Meadowlark Marigold, Meadowlark Mr Badger"
Sporthall Clio of Knockcunnier,Sporthall Clio of Knockcunnier,"0,125","Meadowlark Marigold, Meadowlark Mr Badger"
Raven Rachel,FTW Raven Rachel,"0,125","Meadowlark Marigold, Meadowlark Mr Badger"
Keitsun P?hkin?,Keitsun P?hkin?,"0,125",Merjatuulian Wekkuli
Abbotts Tessa,Abbotts Tessa,"0,125","Merjatuulian Wekkuli, Muistokas Rollo"
King Fields Charlie Brown,King Fields Charlie Brown,"0,125",Meta vom Barkendiek
Attikonak Trooping The Colour,Attikonak Trooping The Colour,"0,125",Meta vom Barkendiek
Attikonak Her Whimsy Way With Hats,Attikonak Her Whimsy Way With Hats,"0,125",Meta vom Barkendiek
Tf Haredale Kanya,ChTf Haredale Kanya,"0,125",Middle River's Forest Harmony
Eagle Owl's Beelsebub,FIN WCH Eagle Owl's Beelsebub,"0,125",Middle River's Forest Harmony
Vasegaard Thunderbird Lucky,Vasegaard Thunderbird Lucky,"0,125",Middle River's Forest Harmony
Hietsun Ilopilleri,FI WCH Hietsun Ilopilleri,"0,125",Middle River's Forest Harmony
Marbra Harrier,Marbra Harrier,"0,125",Mira von Gugi's Kate
Ida,Ida (NSHB 1640995),"0,125",Mira von Gugi's Kate
Goofy v. Janslust,Goofy v. Janslust,"0,125",Mira von Gugi's Kate
Frieda v. Janslust,Frieda v. Janslust,"0,125",Mira von Gugi's Kate
Marbra Crusader,Marbra Crusader,"0,125",Mira von Gugi's Kate
Mendy v. Janslust,Mendy v. Janslust,"0,125",Mira von Gugi's Kate
Dirk v. Janslust,Dirk v. Janslust,"0,125",Mira von Gugi's Kate
Frida v. Janslust,Frida v. Janslust,"0,125",Mira von Gugi's Kate
Scolopax Midnight Silk,Scolopax Midnight Silk,"0,125",Moorman's Lennie Mirak
Black Cedar,Powhatan Black Cedar,"0,125",Muistokas Rollo
Birdland Christmas Rose,Birdland Christmas Rose,"0,125",Muistokas Rollo
Susanset Susan,Susanset Susan,"0,125",Muistokas Rollo
Ramah Chocolate Chip,NO UCh Ramah Chocolate Chip,"0,125","Muistokas Rollo, Usvalinnun Asterix"
Alltid Dandelion,INT NORD UCH Alltid Dandelion,"0,125","Muistokas Rollo, Usvalinnun Asterix"
Rebecca I Vassen,Rebecca I Vassen,"0,125","Muistokas Rollo, Usvalinnun Asterix"
Fintan Thor of Westernash,FTW Fintan Thor of Westernash,"0,125",Muschelsucher Clooney
Delfleet Golden Glory,Delfleet Golden Glory,"0,125",Muschelsucher Clooney
Glentika Lad,FTCH Glentika Lad,"0,125",Namusillan Tammikehr��j�
Kirkderra Lass,FTCh Kirkderra Lass,"0,125",Namusillan Tammikehr��j�
Palgrave Willow of Findpoint,Palgrave Willow of Findpoint,"0,125","Namusillan Tammikehr��j�, SE LCH Streamlight's Ace Leon"
Dee of the Cottage at Parphea,Dee of the Cottage at Parphea,"0,125","Namusillan Tammikehr��j�, SE LCH Streamlight's Ace Leon"
Blazing Pearl,Blazing Pearl,"0,125","Namusillan Tammikehr��j�, SE LCH Streamlight's Ace Leon"
Mothy Grenadier,Mothy Grenadier,"0,125",Nanni-Nadalina von der Bleiburg
Shakenoak Jesse,Shakenoak Jesse,"0,125",Nanni-Nadalina von der Bleiburg
Floh vom Angelfeld,Floh vom Angelfeld,"0,125",Nanni-Nadalina von der Bleiburg
Millbuies Meteor,Millbuies Meteor,"0,125","Nanni-Nadalina von der Bleiburg, Polarfischer Greg"
Fergal of Blackharn,Fergal of Blackharn,"0,125","Nanni-Nadalina von der Bleiburg, Polarfischer Greg"
Saddleton Bella,Saddleton Bella,"0,125","Nanni-Nadalina von der Bleiburg, Polarfischer Greg"
Brenda Walsh,Townfield's Brenda Walsh,"0,125",Never change Gasper
Sparkfield Math,Sparkfield Math,"0,125",Niinivuoren Aamu-Uninen
Kamitan Puolukka,Kamitan Puolukka,"0,125",Niinivuoren Aamu-Uninen
Whatever,Whatever (SF16431H/80),"0,125",Niinivuoren Aamu-Uninen
Skipper,Skipper (DK11273/78),"0,125","Niinivuoren Aamu-Uninen, Searover Cosys Karo"
Bomba,Bomba (DK09915/74),"0,125","Niinivuoren Aamu-Uninen, Searover Cosys Karo"
Sandylands My Rainbeau,GB Sh.Ch. Sandylands My Rainbeau,"0,125",Oliver von Obderhalden
Bonfield Lady,Bonfield Lady,"0,125",Oliver von Obderhalden
Crosscroyde Last Suspect,Crosscroyde Last Suspect,"0,125",Oliver von Obderhalden
Merrymills Bali-Hai of Berolee,Merrymills Bali-Hai of Berolee,"0,125",Oliver von Obderhalden
Stavarney Charm of Timjon,Stavarney Charm of Timjon,"0,125",Oliver von Obderhalden
Lasgarn Legend,Lasgarn Legend,"0,125",Oliver von Obderhalden
Toopines Tough Girl,Toopines Tough Girl,"0,125",Oliver von Obderhalden
Heatherbourne Party Music,Heatherbourne Party Music,"0,125",Oliver von Obderhalden
Longley In Tune,Longley In Tune,"0,125","Oliver von Obderhalden, Usvalinnun Cessi"
Sandylands Storm Along,GB.Sh.Ch. Sandylands Storm Along,"0,125","Oliver von Obderhalden, Vigo von der Pfalz"
Ardmargha My Favourite of Lasgarn,Ardmargha My Favourite of Lasgarn,"0,125","Oliver von Obderhalden, Vigo von der Pfalz"
Kupros My Lady,C.C.W. Kupros My Lady,"0,125","Oliver von Obderhalden, Ulanda aus dem Burghaus"
Sure Shot Hyspire Impressive,MBISS AmGCH  Sure Shot Hyspire Impressive WC,"0,125",Omenalaakson Charles For My Love
Maritime Hyspire Sweet Song,Maritime Hyspire Sweet Song,"0,125",Omenalaakson Charles For My Love
Fabracken Pioneer,Fabracken Pioneer,"0,125",Omenalaakson Charles For My Love
Adventurer's Grace'n Charm,Adventurer's Grace'n Charm,"0,125",Omenalaakson Charles For My Love
Biggas Mellow Fellow,FIN CH Biggas Mellow Fellow,"0,125",Omenalaakson Charles For My Love
Danjac's Finnegan,Danjac's Finnegan,"0,125",Omenalaakson Charles For My Love
FIN EST Ch Mellows Killing Fantasy,FIN EST Ch Mellows Killing Fantasy,"0,125",Omenalaakson Charles For My Love
Holly,Watch-Out's Holly,"0,125",Omenalaakson Charles For My Love
EST Ch Applehill's Mikado,EST Ch Applehill's Mikado,"0,125",Omenalaakson Charles For My Love
Arabella,Arabella (EST00618/96),"0,125",Omenalaakson Charles For My Love
Rod Wallace of Leadburn,GB FTCh Rod Wallace of Leadburn,"0,125",Perdix Gundogs Englishman in New York
Weathers Ivy of Marranscar,Weathers Ivy of Marranscar,"0,125",Perdix Gundogs Englishman in New York
Kelland Nutmeg of Glenbriar,Kelland Nutmeg of Glenbriar,"0,125",Perdix Gundogs Englishman in New York
Rocket av Ettermyrans,Beechbrook Rocket av Ettermyrans,"0,125",Perdix Gundogs Englishman in New York
Balloo Blackthorn of Perdix Gundogs,Balloo Blackthorn of Perdix Gundogs,"0,125",Perdix Gundogs Englishman in New York
Tasco Thrift of Perdix Gundogs,Tasco Thrift of Perdix Gundogs,"0,125",Perdix Gundogs Englishman in New York
Ramsayville Rumour,Ramsayville Rumour,"0,125","Pictorial Betty, Pictorial Cenny"
Ramsayville Rivka,Ramsayville Rivka,"0,125","Pictorial Betty, Pictorial Cenny"
Linjor Miss Scarlet,Linjor Miss Scarlet,"0,125",Pictorial Cenny
Cricklecreek Cruising Along,Cricklecreek Cruising Along,"0,125",Pictorial Cenny
Ruby Tuesday,Trendlewood Ruby Tuesday,"0,125",Pictorial Cenny
Hamford Zoe,Hamford Zoe,"0,125",Polarfischer Greg
Mackeson of Craigfelin,FTCh Kenwu Mackeson of Craigfelin,"0,125",Polarfischer Greg
Farmclose Snowy Mountain,Farmclose Snowy Mountain,"0,125",Polarfischer Greg
Artistryn Bryn of Pasturelands,FTW Artistryn Bryn of Pasturelands,"0,125",Polarfischer Greg
Emerald Moon,Emerald Moon,"0,125",Polarfischer Greg
Benlee Lore,Benlee Lore,"0,125","Quickrunners Alan, Quickrunners August"
Drakeshead Wisp,FTCh Drakeshead Wisp,"0,125","Quickrunners Alan, Quickrunners August"
Dargdaffin Archie,FTCh Dargdaffin Archie,"0,125","Quickrunners Alan, Quickrunners August"
Marshbrook Masterpeice of Clancallum,Marshbrook Masterpeice of Clancallum,"0,125","Quickrunners Alan, Quickrunners August"
